Subject;Predicate;Object;;
Diego Rivera's Article;dcterms: title;Frida Kahlo y el arte mexicano;;
Diego Rivera's Article;dcterms: type;Journal Article;;
Diego Rivera's Article;dcterms: created;1943;;
Diego Rivera's Article;dcterms: language;Spanish;;
Diego Rivera's Article;CRM: P55 has current location;Instituto de investigaciones Bibliográficas;;
Diego Rivera's Article;Schema: About;Frida Kahlo;;
