Subject;Predicate;Object;;
Ted-Ed about Frida Kahlo;cdwa: title text;Frida Kahlo: The woman behind the legend;;
Ted-Ed about Frida Kahlo;CRM: P55 has current location;YouTube;;
Ted-Ed about Frida Kahlo;dcterms: language;English;;
Ted-Ed about Frida Kahlo;dcterms: created;2019;;
Ted-Ed about Frida Kahlo;dcterms: type;Educational Video;;
Ted-Ed about Frida Kahlo;dcterms: creator;Iseult Gillespie;;
Ted-Ed about Frida Kahlo;Schema: About;Frida Kahlo;;
Ted-Ed about Frida Kahlo;dcterms:extent;3 min., 54 sec.;;
