Subject;Predicate;Object;;
Frida Kahlo's Diary;CRM: P65 is shown by;A peek at Frida's diary;;
Frida Kahlo's Diary;dcterms: type;Biographic;;
Frida Kahlo's Diary;dcterms: type;Online Exhibition;;
Frida Kahlo's Diary;CRM: P55 has current location;Google Arts&Culture;;
Frida Kahlo's Diary;dcterms: creator;Museo Dolores Elmedo;;
Frida Kahlo's Diary;Schema: Author;Frida Kahlo;;
