Subject;Predicate;Object;;
Casa Azul;dcterms: title;Casa Azul;;
Casa Azul;CRM 49: has former or curator;Mexican Government;;
Casa Azul;dcterms: type;Art Museum;;
Casa Azul;cdwa: creation date;1957;;
Casa Azul;dcterms: creator;Carlos Pellicer;;
Casa Azul;CRM: P19 was intended use of (was made for);Kahlos Home;;
Casa Azul;Schema: Offer;Frida Kahlo;;
