Subject;Predicate;Object;;
Painting;dcterms: title;Broken Column;;
Painting;CRM: P90 has value;40cmx30.7cm;;
Painting;cdwa: subject display;Pain and Streght;;
Painting;Schema: About;Her Spinal surgery;;
Painting;dcterms: type;Painting;;
Painting;dcterms: type;Oil on basonite;;
Painting;dcterms: created;1944;;
Painting;CRM: P55 has current location;Museo Dolores Olmedo Patino;;
Painting;dcterms: creator;Frida Kahlo;;
