Subject;Predicate;Object;;
Trotsky & Khalo photo;dcterms: title;Frida Kahlo and Trotsky;;
Trotsky & Khalo photo;dcterms: type;Photo;;
Trotsky & Khalo photo;dcterms: created;Sunday, January 24, 1937;;
Trotsky & Khalo photo;cdwa: creator identity;Bettman;;
Trotsky & Khalo photo;Schema: About;Leon Trotsky;;
Trotsky & Khalo photo;Schema: About;Natalia Sedova;;
Trotsky & Khalo photo;Schema: About;Frida Kahlo;;
