Subject;Predicate;Object;;
Frida Kahlo Biography;dcterms: title;Frida Kahlo : an open life;;
Frida Kahlo Biography;dcterms: type;Book;;
Frida Kahlo Biography;dcterms: created;1993;;
Frida Kahlo Biography;Schema: Author;Raquel Tibol;;
Frida Kahlo Biography;dcterms: isPartOf;HathiTrust Digital Library;;
Frida Kahlo Biography;Schema: publishedBy;Albuquerque: University of New Mexico Press;;
Frida Kahlo Biography;dcterms: language;English;;
Frida Kahlo Biography;Schema: About;Frida Kahlo;;
