Subject;Predicate;Object;;
Documentary on Frida Kahlo;cdwa: classification term;Documentary;;
Documentary on Frida Kahlo;dcterms: created;2020;;
Documentary on Frida Kahlo;dcterms: creator;Ali Ray;;
Documentary on Frida Kahlo;dcterms: creator;Phil Grabsky;;
Documentary on Frida Kahlo;dcterms: creator;Díana Bermudez;;
Documentary on Frida Kahlo;Schema: About;Kahlos family members;;
Documentary on Frida Kahlo;Schema: hasPart;Frida's letters;;
Documentary on Frida Kahlo;Schema: About;Frida Kahlo;;
Documentary on Frida Kahlo;dcterms:extent;90 minutes;;
